ABC Lounge Radio	https://eu1.fastcast4u.com/proxy/kpmxz?mp=/1	0
Radio Italo Disco	https://broadcast.miami/proxy/italodisco?mp=/stream/;	0
Radio 202	http://138.201.33.203:8000/rts_4	0
Radio Kiss +1	https://kk.fluidstream.eu/KissKiss1.mp3	0
1FM Classic Rock Replay	https://strm112.1.fm/crock_mobile_mp3	0
Naxi EX YU Radio	https://naxidigital-exyu128ssl.streaming.rs:8242/;stream.nsv	0
Naxi EX YU Rock Radio	https://naxidigital-exyurock128ssl.streaming.rs:8402/;stream.nsv	0
Super FM Beograd	https://onair.superfm.rs/superfm.mp3	0
Rock Radio FM 96.2	https://edge9.pink.rs/rockstream	0
Radio LOLA	https://streaming.tdiradio.com/radiolola.mp3	0
Radio Javor Ivanjica	http://javor.streaming.rs:9320/;'	0
Sumadinac Uzivo	http://media.srb-streaming.com:8020/stream	0
Naxi Boem	https://naxidigital-boem128ssl.streaming.rs:8162/;stream.nsv	0
Radio Cer	http://stream1.contrateam.com:8040/;	0
Radio Morava	https://e3.radiomorava.rs/radio/8000/radiomorava128.mp3	0
Radio Klas	http://195.201.172.217:9014/;	0
Zlatiborski 106 Kosjerić	http://213.239.205.210:8082/stream	0
Sumadinac Kolo	http://media.srb-streaming.com/stream/radio-sumadinac-kolo	0
Sumadinac folk	http://media.srb-streaming.com:8004/stream	0
Radio Elmag Izvorne i Starogradske	https://radio.elmag.me/izvorne.mp3	0
Radio put srece Ljubljana	http://solid55.streamupsolutions.com:8034/stream	0
Radio sumadija	https://media.srb-streaming.com/stream/radio-sumadija	0
Radio Ljubav	http://ljubav.streaming.rs:9340/;	0
Sumadinac Starogradska	https://media.srb-streaming.com/stream/radio-sumadinac-starogradska	0
Radio Crvrcak Krusevac	https://mhpanel2.mediahosting025.com/listen/radio_cvrcak_-_krusevac/.mp3	0
RTS Beograd 1	http://138.201.33.203:8000/rts_1	0
RTS Beograd 2	http://138.201.33.203:8000/rts_2	0
Naxi 70-e Radio	https://naxidigital-70s128ssl.streaming.rs:8382/;stream.nsv	0
Naxi 80-e Radio	https://naxidigital-80s128.streaming.rs:8042/;stream.nsv	0
Naxi Blues Rock Radio	https://naxidigital-blues128ssl.streaming.rs:8312/;stream.mp3	0
Naxi Classic Radio	https://naxidigital-classic128.streaming.rs:8032/;stream.nsv	0
Naxi Clubbing Radio	https://naxidigital-clubbing128.streaming.rs:8092/;stream.nsv	0
Naxi Dance Radio	https://naxidigital-dance128.streaming.rs:8112/;stream.nsv	0
Naxi Disco Radio	https://naxidigital-disco128ssl.streaming.rs:8352/;stream.nsv	0
Naxi Evergreen Radio	https://naxidigital-evergreen128.streaming.rs:8012/;stream.nsv	0
Naxi Fitness	https://naxidigital-fitness128ssl.streaming.rs:8292/;stream.nsv	0
Naxi Fresh Radio	https://naxidigital-fresh128.streaming.rs:8212/;stream.nsv	0
Naxi Funk Radio	https://naxidigital-funk128ssl.streaming.rs:8362/;stream.nsv	0
Naxi Gold Radio	https://naxidigital-gold128.streaming.rs:8062/;stream.nsv	0
Naxi House Radio	https://naxidigital-house128.streaming.rs:8002/;stream.nsv	0
Naxi Jazz Radio	https://naxidigital-jazz128.streaming.rs:8172/;stream.nsv	0
Naxi Kids Radio	https://naxidigital-kids128ssl.streaming.rs:8052/;stream.nsv	0
Naxi Latino Radio	https://naxidigital-latino128.streaming.rs:8232/;stream.nsv	0
Naxi Lounge Radio	https://naxidigital-lounge128.streaming.rs:8252/;stream.nsv	0
Naxi Love Radio	https://naxidigital-love128.streaming.rs:8102/;stream.nsv	0
Naxi Mix Radio	https://naxidigital-mix128.streaming.rs:8222/;stream.nsv	0
Naxi Radio FM	https://naxi128.streaming.rs:9152/;stream.nsv	0
Naxi Rock Radio	https://naxidigital-rock128.streaming.rs:8182/;stream.nsv	0
Naxi Šlager Radio	https://naxidigital-slager128ssl.streaming.rs:8372/;stream.nsv	0
Lux Radio FM 102.0	http://lux-naxinacional.streaming.rs:8605/;stream.nsv	0
Radio 5.8 Apatin	http://apatin96-naxinacional.streaming.rs:8500/;stream.nsv	0
Tempo Naxi radio	https://radio.garden/api/ara/content/listen/MqObSIJy/channel.mp3	0
Radio Sljivovica	https://stream.iradio.pro/proxy/radiosljivovica?mp=/stream/;*.mp3	0
Radio Godacica	http://s39.myradiostream.com:14870/;*.mp3	0
Radio Pelivan	https://as1.radioserveri.com:8100/;/;*.mp3	0
Resavski radio	https://e3.radiomorava.rs/listen/resavskiradio/resavskiradio64.aac	0
Radio Kafana sabac	https://radiokafana.com/radio-proxy.php	0
Balkan Radio Salzburg	https://cast.balkanradiosalzburg.com/sc/balkanradiosalzburg/stream	0
